Nama Lokasi,Latitude,Longitude,Alamat,Deskripsi,Kategori,Kategori_ID,Confidence_Score,Manual_Review
Air Terjun Sinar Tiga(Sukma ilang),-5.530335,105.1034834,"F493+V99, Jl. Sinar Tiga, Harapan Jaya, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,False
Tahura Wan Abdul Rachman (Gunung Betung),-5.4369481,105.1570949,"H574+6RH, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung 35366 ",,alam,1,1.0,False
Air Terjun Gunung Betung,-5.422454,105.1484702,"H4HX+299, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung ",,alam,1,1.0,False
Pantai Klara 2,-5.5830403,105.218281,"Desa, Batu Menyan, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,False
TAHURA WAR LAMPUNG,-5.4201538,105.1857204,"Jl. Wan Abdurrahman, Sumber Agung, Kec. Kemiling, Kabupaten Pesawaran, Lampung 35156 ",,kuliner,4,1.0,True
Puncak Gunung Betung,-5.4420937,105.160132,"H556+536, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung 35366 ",,alam,1,1.0,False
Pantai Ketapang Pesawaran,-5.5908088,105.2346213,"C65M+MRH, Jl. Way Ratai, Gebang, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,False
Air Terjun Lubuk Law,-5.5212395,105.1876062,"Jl. Raya Way Ratay, Gebang, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,False
Air terjun Batu lapis,-5.4946931,105.1587631,"G545+4GC, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,False
Wisata Pemandian Air Panas Way Urang,-5.5982538,105.1094423,"C425+MQW, Way Urang, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,False
Air Terjun Seribu Mimpi,-5.4781592,105.1625017,"G5C7+P2, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung ",,alam,1,1.0,False
Air Terjun Tundo Telu,-5.5651231,105.0437101,"Gn. Rejo, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35451 ",,alam,1,1.0,False
Pulau Kelagian Lunik,-5.6433977,105.2325189,"964M+J2R, Gebang, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung ",,alam,1,1.0,False
